# python scripts/zhao2d_gradient_check.py --thermal-refinement 2   (2026-09-23, local CPU)
# Newton progress lines removed; everything else verbatim.
DUAL MESH: thermal refinement 2, 5200 thermal elements, quadrature 3
mesh h = 0.0002, 1300 elements, 1250 design variables
filter radius = 2.0 h, projection beta = 0.0
Psi_0 = 0.030833302, C_0 = 20491.09114

--- stage reference (alpha_max 1e+06, beta 0) | uniform 0.6 ---
    base converged: flow 1.86e-14, thermal 3.60e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       408  Psi   7.867876e-04      3.37e-10     4.95e-09     3.32e-08  3.37e-10
       408    C  -1.511396e+01      3.87e-09     5.68e-08     1.17e-07  3.87e-09
       408    g  -2.000000e-03      5.26e-10     3.30e-09     2.72e-08  5.26e-10
       408    J   1.238994e-02      3.84e-10     2.48e-09     5.98e-08  3.84e-10
       271  Psi   5.369144e-04      1.34e-09     8.21e-10     1.20e-07  8.21e-10
       271    C  -3.193271e+01      1.40e-09     4.82e-09     4.08e-08  1.40e-09
       271    g  -2.000000e-03      2.88e-11     5.26e-10     2.72e-08  2.88e-11
       271    J   7.927543e-03      1.81e-09     4.33e-10     1.51e-07  4.33e-10
       656  Psi   3.930045e-04      1.75e-09     4.58e-09     1.15e-07  1.75e-09
       656    C   1.015031e+01      4.36e-09     4.38e-08     1.18e-07  4.36e-09
       656    g  -2.000000e-03      2.88e-11     3.30e-09     2.72e-08  2.88e-11
       656    J   6.620728e-03      1.75e-09     1.60e-09     1.89e-07  1.60e-09
       838  Psi   2.835071e-04      9.47e-11     8.72e-09     1.16e-07  9.47e-11
       838    C   9.511862e+00      1.20e-10     7.28e-08     2.71e-07  1.20e-10
       838    g  -2.000000e-03      2.88e-11     3.30e-09     2.83e-08  2.88e-11
       838    J   4.829515e-03      3.95e-10     1.51e-08     1.71e-07  3.95e-10
       103  Psi   2.960534e-03      2.80e-10     4.68e-10     4.22e-09  2.80e-10
       103    C  -3.385044e+01      2.48e-09     5.58e-09     1.51e-07  2.48e-09
       103    g  -2.000000e-03      2.88e-11     2.25e-09     2.72e-08  2.88e-11
       103    J   4.718274e-02      2.83e-10     3.76e-10     8.09e-09  2.83e-10
       489  Psi   6.167933e-04      8.01e-10     4.85e-09     1.76e-08  8.01e-10
       489    C  -1.569643e+01      2.39e-10     7.87e-09     3.72e-09  2.39e-10
       489    g  -2.000000e-03      5.26e-10     2.25e-09     2.72e-08  5.26e-10
       489    J   9.619058e-03      8.63e-10     5.02e-09     4.01e-10  4.01e-10
      dir0  Psi  -1.185609e-02      1.30e-09     3.13e-10     3.43e-09  3.13e-10
      dir0    C  -2.906439e+02      4.19e-09     1.86e-10     2.40e-08  1.86e-10
      dir0    g  -8.818448e-02      8.90e-12     9.98e-12     1.06e-09  8.90e-12
      dir0    J  -1.993530e-01      1.40e-09     2.62e-10     8.51e-10  2.62e-10
      dir1  Psi   4.136601e-02      3.48e-09     1.36e-10     3.37e-10  1.36e-10
      dir1    C  -2.990598e+02      5.03e-09     1.26e-09     2.06e-08  1.26e-09
      dir1    g  -1.190014e-01      8.41e-13     7.38e-11     5.33e-10  8.41e-13
      dir1    J   6.635035e-01      3.46e-09     9.68e-11     6.99e-10  9.68e-11

--- stage final-alpha (alpha_max 1e+07, beta 0) | non-uniform grey ---
    base converged: flow 7.54e-14, thermal 2.81e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       782  Psi   3.243506e-04      1.71e-09     1.29e-09     3.72e-08  1.29e-09
       782    C   5.356651e+00      1.29e-09     4.88e-08     1.34e-06  1.29e-09
       782    g  -2.000000e-03      2.88e-11     5.26e-10     2.72e-08  2.88e-11
       782    J   5.390452e-03      1.47e-09     3.12e-09     1.00e-09  1.00e-09
      1078  Psi   2.298764e-04      5.32e-10     1.46e-08     1.24e-07  5.32e-10
      1078    C   3.772499e+01      1.15e-09     8.50e-09     2.30e-08  1.15e-09
      1078    g  -2.000000e-03      2.88e-11     5.26e-10     2.83e-08  2.88e-11
      1078    J   4.648251e-03      2.74e-10     1.17e-08     5.51e-08  2.74e-10
       185  Psi   5.229450e-04      5.05e-10     2.61e-11     7.43e-08  2.61e-11
       185    C  -3.868487e+01      1.47e-09     5.35e-10     1.60e-07  5.35e-10
       185    g  -2.000000e-03      2.88e-11     5.26e-10     2.83e-08  2.88e-11
       185    J   7.536254e-03      7.01e-10     1.83e-10     7.94e-08  1.83e-10
       468  Psi   3.889519e-04      8.43e-10     2.01e-09     5.58e-09  8.43e-10
       468    C  -2.788583e+01      2.47e-09     2.75e-08     1.51e-07  2.47e-09
       468    g  -2.000000e-03      2.88e-11     5.02e-09     2.72e-08  2.88e-11
       468    J   5.626896e-03      5.77e-10     4.13e-09     3.57e-08  5.77e-10
       249  Psi   9.112448e-03      2.59e-10     6.08e-11     3.14e-09  6.08e-11
       249    C   8.324302e+01      1.63e-10     7.16e-09     1.57e-07  1.63e-10
       249    g  -1.816831e-03      4.08e-10     1.43e-09     2.91e-08  4.08e-10
       249    J   1.498008e-01      2.44e-10     2.25e-11     2.25e-11  2.25e-11
       927  Psi   1.822029e-04      3.61e-09     4.01e-09     1.88e-08  3.61e-09
       927    C   2.438942e+01      3.87e-09     3.79e-08     6.03e-10  6.03e-10
       927    g  -2.000000e-03      2.88e-11     6.08e-09     2.83e-08  2.88e-11
       927    J   3.549768e-03      2.16e-09     4.67e-09     1.72e-08  2.16e-09
      dir0  Psi  -2.498084e-02      1.87e-09     8.52e-11     1.58e-09  8.52e-11
      dir0    C  -1.597320e+03      2.09e-09     3.08e-10     8.78e-10  3.08e-10
      dir0    g  -4.033358e-02      6.37e-12     7.62e-11     1.58e-09  6.37e-12
      dir0    J  -4.440711e-01      1.89e-09     5.26e-11     1.60e-09  5.26e-11
      dir1  Psi   2.906942e-02      2.82e-09     3.46e-11     1.56e-09  3.46e-11
      dir1    C   1.795720e+03      4.10e-09     1.48e-10     1.57e-09  1.48e-10
      dir1    g  -8.445586e-02      8.90e-12     8.90e-12     2.36e-09  8.90e-12
      dir1    J   5.152136e-01      2.93e-09     4.40e-11     1.60e-09  4.40e-11

--- stage projected (alpha_max 1e+07, beta 8) | uniform 0.6 ---
    base converged: flow 2.20e-13, thermal 6.71e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       322  Psi   3.071148e-03      2.73e-10     3.16e-09     6.78e-09  2.73e-10
       322    C  -4.058333e+01      6.52e-09     4.69e-09     3.61e-08  4.69e-09
       322    g  -4.475443e-03      1.65e-09     1.45e-09     1.10e-08  1.45e-09
       322    J   4.881219e-02      5.40e-10     3.63e-09     3.09e-08  5.40e-10
       248  Psi   4.375886e-02      1.62e-09     3.70e-10     1.77e-09  3.70e-10
       248    C   1.597557e+02      1.28e-08     1.62e-09     1.20e-08  1.62e-09
       248    g  -4.885325e-03      1.68e-09     2.07e-10     9.29e-10  2.07e-10
       248    J   7.135021e-01      1.68e-09     3.60e-10     3.60e-10  3.60e-10
       342  Psi   6.501926e-03      6.88e-11     2.40e-10     2.40e-10  6.88e-11
       342    C  -2.673759e+01      2.35e-08     1.26e-08     3.50e-08  1.26e-08
       342    g  -4.475443e-03      1.65e-09     1.03e-09     1.10e-08  1.03e-09
